epoch,loss,Dice,IoU,Sensitivity,Specificity,Accuracy
1,0.7398084434303077,0.5000573948249672,0.3394503868652537,0.7838357149144206,0.9938904812457592,0.9815973281860352
2,0.6274788411887916,0.587992191702287,0.422707817104481,0.8167854993832083,0.9961615350634551,0.9853012084960937
3,0.5475701029236252,0.6241543144489312,0.4614222965791047,0.8150165359210801,0.9970446997005464,0.9865873336791993
4,0.48624137607780665,0.651371725443689,0.4881816043670823,0.8368976298899804,0.9967037109063343,0.987673568725586
5,0.4377037520344193,0.6563061363322246,0.4970517221404921,0.8526035212431907,0.9960115001957306,0.987042236328125
6,0.3989636503361367,0.6319212813226514,0.467059085959863,0.8375643763836198,0.9968931716319652,0.9870990753173828
7,0.37007849361445455,0.6415412024745725,0.47920219559579,0.8063740487305809,0.997742551582656,0.9874603271484375
8,0.3428349970160304,0.6695720882224164,0.5077552102303591,0.8413969250670885,0.9966292945538309,0.9879230499267578
9,0.3203639935802769,0.6225968628229677,0.4567084369332182,0.8401046898160244,0.9963362376940555,0.9865484237670898
10,0.3037517594324576,0.6783452180740107,0.5215245440647789,0.8057583858792979,0.9978721185100019,0.9883571624755859
11,0.2855872604492548,0.6768689770340941,0.5187325264384736,0.8274669654276117,0.9973563877524155,0.988270378112793
12,0.2725602851526157,0.6509168181166642,0.48960266076872505,0.8795975843761201,0.9940181353288058,0.9858301162719727
13,0.25801981582834915,0.6791088601817631,0.5213157281736647,0.8484980776729408,0.9966894793498409,0.9881019592285156
14,0.2466307137463544,0.6528650547710572,0.49351871670742475,0.7522197560020125,0.9988556118390812,0.9877328872680664
15,0.23746263296217532,0.6808338307231921,0.5263852372911502,0.7932539873658222,0.9980796729541943,0.9882732391357422
16,0.22824164620927861,0.6654542316296091,0.5076413091221565,0.8388898740214431,0.9963522381186605,0.9872838973999023
17,0.22175280266516917,0.6915327277801518,0.5372449874918612,0.8227470170071662,0.9973489552631516,0.9884113311767578
18,0.21500309415765712,0.6595522243223952,0.4991590840571182,0.8061442426969376,0.9980826062764871,0.9881830215454102
19,0.2088169024602787,0.6807115577316669,0.5261329896630672,0.7999559578794249,0.9982899431123127,0.9885387420654297
20,0.202328566361118,0.6773997744906455,0.5205631174265675,0.8450367550667442,0.9964026925321697,0.9876554489135743
